=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.01.09 16:47:39 =~=~=~=~=~=~=~=~=~=~=~=,,
pulseWidth (ms),dutyCycle (),
2000,N/A,
time (s),temperature (deg C),
1,26.37,0
3,29.3,0
5,29.3,0
7,29.3,0
9,30.27,0.41
11,31.25,0.41
13,32.23,0.41
15,33.2,0.41
17,33.2,0.41
19,33.2,0.65
21,33.2,0.65
23,35.16,0.65
25,34.18,0.65
27,36.13,0.65
29,36.13,0.31
31,36.13,0.31
33,38.09,0.31
35,39.06,0.31
37,39.06,0.31
39,41.99,0.41
41,40.04,0.41
43,42.97,0.41
45,43.95,0.41
47,44.92,0.41
49,44.92,0.19
51,45.9,0.19
53,45.9,0.19
55,48.83,0.19
57,48.83,0.19
59,50.78,0.15
61,51.76,0.15
63,51.76,0.15
65,53.71,0.15
67,52.73,0.15
69,54.69,0.72
71,54.69,0.72
73,56.64,0.72
75,57.62,0.72
77,59.57,0.72
79,59.57,0.11
81,61.52,0.11
83,62.5,0.11
85,63.48,0.11
87,64.45,0.11
89,67.38,0.78
91,67.38,0.78
93,68.36,0.78
95,70.31,0.78
97,72.27,0.78
99,73.24,0.69
101,75.2,0.69
103,78.12,0.69
105,80.08,0.69
107,82.03,0.69
109,81.05,0.37
111,86.91,0.37
113,89.84,0.37
115,91.8,0.37
117,93.75,0.37
119,93.75,0.23
121,91.8,0.23
123,96.68,0.23
125,98.63,0.23
127,98.63,0.23
129,101.56,0.29
131,100.59,0.29
133,102.54,0.29
135,102.54,0.29
137,101.56,0.29
139,104.49,0.63
141,104.49,0.63
143,105.47,0.63
145,106.45,0.63
147,107.42,0.63
149,108.4,0.75
151,110.35,0.75
153,111.33,0.75
155,112.3,0.75
157,115.23,0.75
159,111.33,0.04
161,119.14,0.04
163,119.14,0.04
165,121.09,0.04
167,122.07,0.04
169,112.3,0.05
171,122.07,0.05
173,123.05,0.05
175,122.07,0.05
177,123.05,0.05
179,122.07,0.49
181,122.07,0.49
183,123.05,0.49
185,123.05,0.49
187,122.07,0.49
189,122.07,0.75
191,124.02,0.75
193,125.98,0.75
195,125.98,0.75
197,127.93,0.75
199,130.86,0.99
201,129.88,0.99
203,130.86,0.99
205,133.79,0.99
207,135.74,0.99
209,138.67,0.27
211,140.63,0.27
213,142.58,0.27
215,142.58,0.27
217,149.41,0.27
219,145.51,0.61
221,146.48,0.61
223,146.48,0.61
225,148.44,0.61
227,148.44,0.61
229,149.41,0.62
231,151.37,0.62
233,152.34,0.62
235,153.32,0.62
237,154.3,0.62
239,154.3,0.17
241,148.44,0.17
244,146.48,0.17
246,158.2,0.17
248,159.18,0.17
250,159.18,0.79
252,158.2,0.79
254,159.18,0.79
256,160.16,0.79
258,160.16,0.79
260,162.11,0.61
262,152.34,0.61
264,163.09,0.61
266,166.99,0.61
268,166.99,0.61
270,166.02,0.22
272,168.95,0.22
274,169.92,0.22
276,170.9,0.22
278,170.9,0.22
280,169.92,0.13
282,170.9,0.13
284,170.9,0.13
286,170.9,0.13
288,169.92,0.13
290,169.92,0.49
292,169.92,0.49
294,167.97,0.49
296,169.92,0.49
298,169.92,0.49
300,158.2,0.71
302,169.92,0.71
304,169.92,0.71
306,171.88,0.71
308,171.88,0.71
310,172.85,0.61
312,178.71,0.61
314,174.8,0.61
316,174.8,0.61
318,181.64,0.61
320,176.76,0.08
322,177.73,0.08
324,178.71,0.08
326,178.71,0.08
328,178.71,0.08
330,177.73,0.81
332,178.71,0.81
334,178.71,0.81
336,178.71,0.81
338,178.71,0.81
340,179.69,0.67
342,181.64,0.67
344,181.64,0.67
346,182.62,0.67
348,184.57,0.67
350,185.55,0.8
352,186.52,0.8
354,188.48,0.8
356,189.45,0.8
358,191.41,0.8
360,192.38,0.47
362,193.36,0.47
364,195.31,0.47
366,194.34,0.47
368,196.29,0.47
370,197.27,0.83
372,198.24,0.83
374,199.22,0.83
376,200.2,0.83
378,202.15,0.83
380,202.15,0.88
382,203.13,0.88
384,206.05,0.88
386,207.03,0.88
388,208.98,0.88
390,209.96,0.3
392,210.94,0.3
394,210.94,0.3
396,211.91,0.3
398,213.87,0.3
400,212.89,0.12
402,212.89,0.12
404,211.91,0.12
406,210.94,0.12
408,211.91,0.12
410,210.94,0.74
412,209.96,0.74
414,209.96,0.74
416,208.98,0.74
418,209.96,0.74
420,209.96,0.78
422,210.94,0.78
424,211.91,0.78
426,212.89,0.78
428,213.87,0.78
430,213.87,0.33
432,215.82,0.33
434,216.8,0.33
436,217.77,0.33
438,215.82,0.33
440,217.77,0.23
442,217.77,0.23
444,216.8,0.23
446,215.82,0.23
448,215.82,0.23
450,213.87,0.58
452,214.84,0.58
454,212.89,0.58
456,212.89,0.58
458,213.87,0.58
460,209.96,0.83
462,214.84,0.83
464,214.84,0.83
466,215.82,0.83
468,217.77,0.83
470,216.8,0.76
472,218.75,0.76
474,219.73,0.76
476,220.7,0.76
478,220.7,0.76
480,221.68,0.59
482,223.63,0.59
484,224.61,0.59
486,225.59,0.59
488,226.56,0.59
490,225.59,0.77
492,227.54,0.77
494,228.52,0.77
496,230.47,0.77
498,229.49,0.77
500,235.35,0.85
502,232.42,0.85
504,233.4,0.85
506,233.4,0.85
508,236.33,0.85
510,237.3,0.25
512,238.28,0.25
514,237.3,0.25
516,239.26,0.25
518,238.28,0.25
520,237.3,0.18
522,237.3,0.18
524,237.3,0.18
526,236.33,0.18
528,235.35,0.18
530,234.38,0.98
532,219.73,0.98
534,234.38,0.98
536,238.28,0.98
538,235.35,0.98
540,235.35,0.16
542,238.28,0.16
544,237.3,0.16
546,237.3,0.16
548,237.3,0.16
550,236.33,1
552,237.3,1
554,237.3,1
556,238.28,1
558,239.26,1
560,240.23,0.79
562,243.16,0.79
564,243.16,0.79
566,245.12,0.79
567,247.07,0
569,246.09,0
571,246.09,0
573,246.09,0
575,245.12,0.41
577,244.14,0.41
579,243.16,0.41
581,243.16,0.41
583,243.16,0.41
585,243.16,0.65
587,243.16,0.65
589,243.16,0.65
591,243.16,0.65
593,242.19,0.65
595,244.14,0.31
597,244.14,0.31
599,245.12,0.31
601,245.12,0.31
603,246.09,0.31
605,245.12,0.41
607,243.16,0.41
609,244.14,0.41
611,245.12,0.41
613,244.14,0.41
615,243.16,0.19
617,243.16,0.19
619,242.19,0.19
621,241.21,0.19
623,240.23,0.19
625,240.23,0.15
627,239.26,0.15
629,238.28,0.15
631,238.28,0.15
633,237.3,0.15
635,235.35,0.72
637,235.35,0.72
639,234.38,0.72
641,233.4,0.72
643,233.4,0.72
645,233.4,0.11
647,234.38,0.11
649,234.38,0.11
651,233.4,0.11
653,232.42,0.11
655,232.42,0.78
657,233.4,0.78
659,233.4,0.78
661,232.42,0.78
663,233.4,0.78
665,234.38,0.69
667,233.4,0.69
669,235.35,0.69
671,235.35,0.69
673,236.33,0.69
675,238.28,0.37
677,239.26,0.37
679,239.26,0.37
681,240.23,0.37
683,239.26,0.37
685,241.21,0.23
687,241.21,0.23
689,241.21,0.23
691,240.23,0.23
693,239.26,0.23
695,240.23,0.29
